0.587;0.777
0.243;1.920
0.166;2.558
0.234;2.505
0.059;4.074
0.053;4.171
0.049;4.287
0.076;4.118
0.068;4.193
0.047;4.469
0.034;4.511
0.050;4.661
0.059;4.396
0.057;4.544
0.085;4.172
0.119;3.472
0.150;3.564
0.141;3.274
0.135;3.155
0.184;3.099
0.206;2.932
0.227;2.972
0.290;2.800
0.189;2.986
0.278;2.331
0.234;2.780
0.249;2.587
0.279;2.535
0.268;2.898
0.304;2.368
0.286;2.375
0.306;2.480
0.310;2.299
0.341;2.224
0.323;2.372
0.315;2.164
0.301;2.400
0.327;2.175
0.340;2.097
0.304;2.020
0.331;2.045
0.348;2.028
0.329;2.054
0.339;2.127
0.344;2.056
0.321;2.184
0.323;2.151
0.369;2.018
0.330;2.011
0.386;2.014
0.370;2.072
0.344;1.953
0.390;1.753
0.367;1.794
0.364;1.855
0.376;1.942
0.357;2.106
0.395;1.712
0.342;1.797
0.374;1.664
0.369;1.712
0.380;1.698
0.383;1.645
0.421;1.614
0.367;1.791
0.417;1.662
0.428;1.648
0.415;1.755
0.431;1.644
0.433;1.631
0.461;1.561
0.447;1.488
0.463;1.488
0.471;1.504
0.470;1.442
0.463;1.539
0.461;1.508
0.488;1.387
0.468;1.422
0.481;1.378
0.471;1.452
0.500;1.348
0.475;1.463
0.489;1.487
0.494;1.467
0.481;1.434
0.507;1.367
0.491;1.394
0.523;1.307
0.511;1.263
0.496;1.278
0.495;1.286
0.503;1.273
0.531;1.232
0.524;1.266
0.516;1.322
0.518;1.312
0.527;1.311
0.531;1.251
0.542;1.241
0.522;1.275
0.538;1.265
0.525;1.268
0.552;1.177
0.535;1.292
0.533;1.275
0.521;1.290
0.544;1.227
0.539;1.153
0.527;1.221
0.552;1.174
0.509;1.295
0.566;1.240
0.535;1.287
0.560;1.178
0.518;1.358
0.537;1.299
0.577;1.222
0.545;1.241
0.545;1.250
0.562;1.154
0.554;1.117
0.547;1.142
0.567;1.084
0.576;1.107
0.554;1.147
0.558;1.152
0.575;1.135
0.558;1.158
0.587;1.067
0.560;1.159
0.564;1.201
0.575;1.139
0.572;1.164
0.562;1.171
0.571;1.130
0.600;1.064
0.576;1.086
0.567;1.095
0.586;1.059
0.598;1.055
