0.272;1.988
0.032;4.409
0.048;4.972
0.039;4.582
0.098;3.987
0.161;3.074
0.212;2.567
0.252;2.583
0.257;2.343
0.280;2.362
0.302;2.287
0.319;2.080
0.354;1.994
0.351;1.851
0.393;1.756
0.420;1.690
0.451;1.637
0.463;1.526
0.483;1.455
0.490;1.414
0.520;1.440
0.524;1.297
0.536;1.266
0.535;1.226
0.544;1.245
0.547;1.205
0.550;1.181
0.565;1.205
0.566;1.162
0.554;1.216
0.559;1.198
0.564;1.101
0.566;1.128
0.558;1.152
0.568;1.112
0.569;1.079
0.575;1.126
0.575;1.105
0.575;1.065
0.578;1.087
0.580;1.090
0.582;1.054
0.585;1.047
0.588;1.051
0.578;1.069
0.584;1.057
0.585;1.045
0.583;1.027
0.582;1.007
0.587;1.038
0.583;1.025
0.593;1.020
0.583;1.024
0.589;1.028
0.588;1.021
0.586;1.054
0.589;1.016
0.591;1.005
0.585;1.011
0.590;1.028
0.588;1.018
0.590;1.029
0.590;1.014
0.591;0.993
0.585;1.025
0.591;1.032
0.589;1.019
0.589;1.005
0.588;1.009
0.589;1.043
0.591;1.021
0.586;1.022
0.590;1.015
0.581;1.033
0.585;1.012
0.586;1.039
0.587;1.013
0.581;1.012
0.581;1.039
0.583;1.044
0.581;1.031
0.584;1.035
0.580;1.040
0.576;1.047
0.582;1.020
0.575;1.033
0.577;1.066
0.580;1.058
0.576;1.037
0.579;1.032
0.584;1.019
0.582;1.055
0.577;1.036
0.583;1.042
0.569;1.057
0.579;1.026
0.576;1.028
0.574;1.044
0.574;1.063
0.577;1.048
0.573;1.059
0.572;1.043
0.569;1.051
0.568;1.050
0.568;1.054
0.572;1.058
0.565;1.075
0.571;1.055
0.567;1.059
0.567;1.056
0.569;1.068
0.566;1.074
0.568;1.056
0.561;1.078
0.570;1.061
0.567;1.090
0.567;1.065
0.563;1.064
0.566;1.073
0.566;1.055
0.564;1.081
0.560;1.084
0.566;1.065
0.564;1.074
0.564;1.077
0.564;1.086
0.563;1.077
0.562;1.084
0.562;1.066
0.561;1.100
0.564;1.086
0.562;1.093
0.564;1.106
0.561;1.078
0.560;1.105
0.567;1.090
0.559;1.082
0.563;1.088
0.559;1.083
0.560;1.091
0.569;1.094
0.561;1.091
0.556;1.113
0.566;1.088
0.556;1.105
0.564;1.100
0.564;1.097
0.564;1.094
0.561;1.106
0.564;1.087
0.560;1.100
0.563;1.093
0.561;1.099
0.555;1.101
0.558;1.113
0.564;1.112
0.560;1.084
0.561;1.100
0.557;1.109
0.558;1.104
0.562;1.092
0.560;1.115
0.570;1.104
0.567;1.086
0.560;1.100
0.561;1.071
0.566;1.094
0.558;1.130
0.565;1.099
0.559;1.120
0.564;1.090
0.563;1.081
0.560;1.095
0.569;1.099
0.562;1.097
0.560;1.092
0.569;1.103
0.564;1.113
0.560;1.124
0.565;1.120
0.563;1.077
0.558;1.098
0.569;1.111
0.569;1.100
0.564;1.105
0.569;1.104
0.565;1.091
0.566;1.082
0.577;1.092
0.566;1.094
0.568;1.091
0.574;1.080
0.571;1.086
0.570;1.100
0.573;1.075
0.574;1.092
0.571;1.074
0.569;1.108
0.568;1.092
0.571;1.089
